ID,Title,Location,salary,summary
kr.indeed.com/viewjobs?jk=a5cce44e4a847727,현대오토에버 경력사원 대규모 상시,현대오토에버 서울,,"경험자 - 데이터 분석을 위한 Python/MariaDB 개발 경험 보유자... 지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등..."
kr.indeed.com/viewjobs?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
kr.indeed.com/viewjobs?jk=2729ff3a8b39db3a,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,,하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/Golang/ Python/Java/Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch...
kr.indeed.com/viewjobs?jk=6e9819bc1b7015c9,[기술플랫폼실] 정보보호 담당자 영입,카카오페이 성남 분당구,,"술적 지식과 설계, 구축, 운영 등 역량을 보유하신 분 - 개발언어(Shell script, JAVA, Python 등)에 대한 이해 및 코드리뷰와 관련한 역량을 보유하신 분 - ISMS-P, PCI-DSS, ISO27001..."
kr.indeed.com/viewjobs?jk=45773a15dc174fee,"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
kr.indeed.com/viewjobs?jk=08ac3f5ae6806ecd,빅데이터 분석 기술인력,한국정보기술단 과천 과천시,,"텍스트 분류, 텍스트 Generation) - 언어/패키지 : R, Python, SQL 등 [우대사항] - 수학/통계학 전공 - 정보처리기사 00... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
kr.indeed.com/viewjobs?jk=064270aae627e45b,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행 성남 분당구,,"년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Javascript 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서 오픈..."
kr.indeed.com/viewjobs?jk=9e6683a4a23002e1,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행 성남 분당구,,통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임... 게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
kr.indeed.com/viewjobs?jk=d556a5075a39acee,데이터분석가(팀장급),리디 서울,,"대한 이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계..."
kr.indeed.com/viewjobs?jk=2b7bc67cebf49cc0,"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany 경상남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|�kr.indeed.com/viewjobs?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
넷·IT·통신·모바일·게임>응용프로그래머> Python|전자·기계·기술·화학·연구개발>바이오·식품공학>바이오|전자·기계·기술..."
��업 서울 강남구,,"데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
kr.indeed.com/viewjobs?jk=a5cce44e4a847727,현대오토에버 경력사원 대규모 상시,현대오토에버 서울,,"경험자 - 데이터 분석을 위한 Python/MariaDB 개발 경험 보유자... 지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등..."
kr.indeed.com/viewjobs?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
kr.indeed.com/viewjobs?jk=2729ff3a8b39db3a,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,,하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/Golang/ Python/Java/Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch...
kr.indeed.com/viewjobs?jk=6e9819bc1b7015c9,[기술플랫폼실] 정보보호 담당자 영입,카카오페이 성남 분당구,,"술적 지식과 설계, 구축, 운영 등 역량을 보유하신 분 - 개발언어(Shell script, JAVA, Python 등)에 대한 이해 및 코드리뷰와 관련한 역량을 보유하신 분 - ISMS-P, PCI-DSS, ISO27001..."
kr.indeed.com/viewjobs?jk=45773a15dc174fee,"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
kr.indeed.com/viewjobs?jk=08ac3f5ae6806ecd,빅데이터 분석 기술인력,한국정보기술단 과천 과천시,,"텍스트 분류, 텍스트 Generation) - 언어/패키지 : R, Python, SQL 등 [우대사항] - 수학/통계학 전공 - 정보처리기사 00... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
kr.indeed.com/viewjobs?jk=064270aae627e45b,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행 성남 분당구,,"년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Javascript 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서 오픈..."
kr.indeed.com/viewjobs?jk=9e6683a4a23002e1,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행 성남 분당구,,통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임... 게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
kr.indeed.com/viewjobs?jk=d556a5075a39acee,데이터분석가(팀장급),리디 서울,,"대한 이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계..."
kr.indeed.com/viewjobs?jk=2b7bc67cebf49cc0,"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany 경상남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|�kr.indeed.com/viewjobs?jk=2729ff3a8b39db3a,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,,하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/Golang/ Python/Java/Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch...
��·기술..."
��업 서울 강남구,,"데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
kr.indeed.com/viewjobs?jk=a5cce44e4a847727,현대오토에버 경력사원 대규모 상시,현대오토에버 서울,,"경험자 - 데이터 분석을 위한 Python/MariaDB 개발 경험 보유자... 지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등..."
kr.indeed.com/viewjobs?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
kr.indeed.com/viewjobs?jk=2729ff3a8b39db3a,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,,하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/Golang/ Python/Java/Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch...
kr.indeed.com/viewjobs?jk=6e9819bc1b7015c9,[기술플랫폼실] 정보보호 담당자 영입,카카오페이 성남 분당구,,"술적 지식과 설계, 구축, 운영 등 역량을 보유하신 분 - 개발언어(Shell script, JAVA, Python 등)에 대한 이해 및 코드리뷰와 관련한 역량을 보유하신 분 - ISMS-P, PCI-DSS, ISO27001..."
kr.indeed.com/viewjobs?jk=45773a15dc174fee,"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
kr.indeed.com/viewjobs?jk=08ac3f5ae6806ecd,빅데이터 분석 기술인력,한국정보기술단 과천 과천시,,"텍스트 분류, 텍스트 Generation) - 언어/패키지 : R, Python, SQL 등 [우대사항] - 수학/통계학 전공 - 정보처리기사 00... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
kr.indeed.com/viewjobs?jk=064270aae627e45b,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행 성남 분당구,,"년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Javascript 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서 오픈..."
kr.indeed.com/viewjobs?jk=9e6683a4a23002e1,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행 성남 분당구,,통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임... 게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
kr.indeed.com/viewjobs?jk=d556a5075a39acee,데이터분석가(팀장급),리디 서울,,"대한 이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계..."
kr.indeed.com/viewjobs?jk=2b7bc67cebf49cc0,"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany 경상남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|�kr.indeed.com/viewjobs?jk=bfe0f5ac4f32ec89,추천 통계분석/데이터사이언티스트,카카오 4.2 성남 판교역,,기능 기계학습 모델링 지원자격 개발 경력 3년 이상 숙련된 데이터분석 능력 데이터 사이언스를 위한 언어( Python/R) 를 하나 이상 능숙하게 다룰 수 있으신 분 분석 결과를 설득력있게 전달할 수 있는 분 우대사항...
��,,"데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
kr.indeed.com/viewjobs?jk=a5cce44e4a847727,현대오토에버 경력사원 대규모 상시,현대오토에버 서울,,"경험자 - 데이터 분석을 위한 Python/MariaDB 개발 경험 보유자... 지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등..."
kr.indeed.com/viewjobs?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
kr.indeed.com/viewjobs?jk=2729ff3a8b39db3a,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,,하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/Golang/ Python/Java/Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch...
kr.indeed.com/viewjobs?jk=6e9819bc1b7015c9,[기술플랫폼실] 정보보호 담당자 영입,카카오페이 성남 분당구,,"술적 지식과 설계, 구축, 운영 등 역량을 보유하신 분 - 개발언어(Shell script, JAVA, Python 등)에 대한 이해 및 코드리뷰와 관련한 역량을 보유하신 분 - ISMS-P, PCI-DSS, ISO27001..."
kr.indeed.com/viewjobs?jk=45773a15dc174fee,"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
kr.indeed.com/viewjobs?jk=08ac3f5ae6806ecd,빅데이터 분석 기술인력,한국정보기술단 과천 과천시,,"텍스트 분류, 텍스트 Generation) - 언어/패키지 : R, Python, SQL 등 [우대사항] - 수학/통계학 전공 - 정보처리기사 00... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
kr.indeed.com/viewjobs?jk=064270aae627e45b,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행 성남 분당구,,"년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Javascript 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서 오픈..."
kr.indeed.com/viewjobs?jk=9e6683a4a23002e1,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행 성남 분당구,,통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임... 게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
kr.indeed.com/viewjobs?jk=d556a5075a39acee,데이터분석가(팀장급),리디 서울,,"대한 이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계..."
kr.indeed.com/viewjobs?jk=2b7bc67cebf49cc0,"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany 경상남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|�kr.indeed.com/viewjobs?jk=4cd34228af5013fd,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원 대구 현풍면,,"우수자(SPSS, R 등 통계패키지) 외국어(영어) 구사 능력 우수자 Programming(MATLAB, Python, C/C++ 등) 가능자 · 근무기간 : 2019.3.11.~2020.3.10. ※ 단, 재계약 평가에..."
